-1.00,-1.00,-1.00,-1.00,-1.00,8.11
1.00,-1.00,-1.00,-1.00,-1.00,5.56
-1.00,1.00,-1.00,-1.00,-1.00,5.77
1.00,1.00,-1.00,-1.00,-1.00,5.82
-1.00,-1.00,1.00,-1.00,-1.00,9.17
1.00,-1.00,1.00,-1.00,-1.00,7.8
-1.00,1.00,1.00,-1.00,-1.00,3.23
1.00,1.00,1.00,-1.00,-1.00,5.69
-1.00,-1.00,-1.00,1.00,-1.00,8.82
1.00,-1.00,-1.00,1.00,-1.00,14.23
-1.00,1.00,-1.00,1.00,-1.00,9.2
1.00,1.00,-1.00,1.00,-1.00,8.94
-1.00,-1.00,1.00,1.00,-1.00,8.68
1.00,-1.00,1.00,1.00,-1.00,11.49
-1.00,1.00,1.00,1.00,-1.00,6.25
1.00,1.00,1.00,1.00,-1.00,9.12
-1.00,-1.00,-1.00,-1.00,1.00,7.93
1.00,-1.00,-1.00,-1.00,1.00,5
-1.00,1.00,-1.00,-1.00,1.00,7.47
1.00,1.00,-1.00,-1.00,1.00,12
-1.00,-1.00,1.00,-1.00,1.00,9.86
1.00,-1.00,1.00,-1.00,1.00,3.65
-1.00,1.00,1.00,-1.00,1.00,6.4
1.00,1.00,1.00,-1.00,1.00,11.61
-1.00,-1.00,-1.00,1.00,1.00,12.43
1.00,-1.00,-1.00,1.00,1.00,17.55
-1.00,1.00,-1.00,1.00,1.00,8.87
1.00,1.00,-1.00,1.00,1.00,25.38
-1.00,-1.00,1.00,1.00,1.00,13.06
1.00,-1.00,1.00,1.00,1.00,18.85
-1.00,1.00,1.00,1.00,1.00,11.78
1.00,1.00,1.00,1.00,1.00,26.05